id,label
0,.frhlhkoRdiNlIRenthDhbOWindOAtDhfrDrendhvDhHol.AndlukthloNDhvisthvhgaRdhnWokkaRphtidWiTklOslISEvingRAs.hndboRdrdWiTshmRUdhnd.imhtoRhtemptAttRebrI.
1,.DhpwdhpvEprzkhntensthnhWotr.AndDIeR.phtinhvylhtAkShntUshplyDhvAkhm.leftbyDhkandhnsEShn.hvDhmist.Rwzizitself.intUhWrldWen.
2,.AndfiRstDwbikhzyfAniS.AndimsInOmoR.
3,.fADhm.siksfIt.
4,.DhveRIbilhtIhvmhlth.hlpaRts.
5,.AtDhHedhvDhpiNkIzWrgitbhzizhl.hndbhtembRy.HUHAdDhpiRitOnHIzSODr.AndDeWrshpoRtibykApthngWrlI.AndkAthntintAnt.AndROzhlIDhWic.
6,.yWhzHOpiNDhtifDhpEpranWicHIROdWhzTinshmtREshvitmytkhmTRUpanDispaliSTrfhs.nOysInhTiN.
7,.RabhdinDhlithlthmblrbitWInDhmtRythfoRsDhskWyRdistAndbAk.AndveRIvAlIhlItiDIiztUkhmpoRThmselvz.
8,.DIindIhnyolsOTotnhTiNhf.
9,.silvIOWhzDIAtrEShnhvfRendz.AndHrtelhntWhzDhRIlshmpoRt.hvolDhkamhnIz.WisDhgREtizoTrzROdfrHrr.hspeShlIhv.DhplEzhvmeRIhvO.foRWiDwt.Hr.HizkamhtIzWidnevrHAvgonthpRasteRhtI.
10,.nwfoRWhnlithlHAfwrd.SIHAdbinhWumhntokiNtUhbY.nO.natIvinDAt.SIHAdbintokiN.jiztokiN.DeRWrnO.rshnzivDhkaRvrsEShn.jisTiNz.WhnTiN.pathn.
11,.yltRyifynOolDhTiNzy?UzdtinO.
12,.tUzdE.olDist.EtEt.
13,.HrReditI.DhkozhvolaRfolts.
14,.sinslAsTrzdEy.kip.gisizhl.HAvbinDhlofhlburUlhvDhblUkhntRI.bhtnylht?URkhNgrdbykWInSat.yshphlzyAmkaNkrtUAnd?UHAvnObiDrUAtol.
15,.TiNksAthmysev.hnevrsInenITiNaStpaphlgudhnmen.ifHItuktaRmhnhphndWilinhp.sOaRkeRIdDislithlfelrHwmhndhbuShlbeskhtWhnytlesmaRk.AndhsmenhlevhndEmhnsbutHimthgeDr.
16,.AftrDistizhpYRhn.ynevrdeRRekiNWiTsrthntIonDIindRemhthvhphZrhgen.itsImzAzhfshmfhtAlhtIstudbitIn?UhnmI.
17,.DeRIkeRfhlIDhmhjiShnRimUvDispwtr.plEsiNitolthgeDrinhgOldhndiS.WeRHImikstitWiThgOldhnspUn.
18,.HryzWhndr.tUDhmEdsHAnz.
19,.WyhthNimpRestWiTHhnIfrmevRIWint.
20,.bht.WIhnydh.EzAtlIWelkhm.
21,.mislEkthklynzDhkwRijthmyt.
22,.DhplEsHIHAdWhzhveRIgudWhn.DhshnSOnanHim.AztrfReSiRDeRWhzinhfhvDApt.hndRwndHimgRUmenIlaRgsyzdkamRedzkpynzezWelezfrz.
23,.WIcHIHAdbAdmAnelnhs.hndyWhzOnlIilevhn?iRzOld.SI?UzdthsE.?UlHAvrfRendanrzin?urAntREchl.ifyAmtEkhnfrm?U.frSIHAzhkyndHart.AndymSuRyfwnditsO.
24,.sr.yHAvitinkhmAntUmhnfoRm?uRekShlensI.Dh?RebAnhpYntidghvrnrhvDhkRwndkanI.WicizkoldbRitn?UlO.
25,.AndWhtsoRthvevhdhns.iz.lajiklIpashbhl.
26,.nOmoRDenDhdAnsiN.
27,.SIAdolmOstfrgadhnDhtOzHIRWiTinthchnsyt.
28,.itWhznatveRImhcpAst.hlevhnDAdmoRniNWenDhpOnIkwrijfrmbRAndhn.dRUhpbifoRDhlithlkaRdhnWikhthvRedhmhntsfaRm.
29,.DhgevhnronHizpaRtbikhmiNdwtfulhvDhlhgAlhtI.hvimvlYiNmizriNDhleShtUhnfoRckAnzizloz.WhzolsO.IgrtUsikk?uRDhHelp.hfetrhltRUps.
30,.HedHIsrl.ovhnthkDIAprtUnhtI.WenrAnsbAkWhztrnd.hvlukiNAtDhplIziNRiflekShnhvHrself.inDOzpalhjtsrvhsiz.frDIOktEbhl.Whz?UZrhlItrn.hplykhskRIn.inWhzmoRfraRthmhnt.Dhnfr?Us.AndSIkudsI?uRselfshmtymz.inDhgREt.Rwndhp?UtrtiSiz.DeRWrREnjdanDhSelvzhbhvDhloNdIldidrtEbhl.oRinDhHabzhvDhgREt.Wic.olWIzSOnlytjAspr.
31,.bhtitiznatWiThv?UtidistiNkShnDhtH?USudkwlshvEdDistwhnd.if?Ukhnso?uRanHApInhs.
32,.d?Utka.hk?Ut.
33,.izspYlzWhnzbestWrk.
34,.fynlIDhWhn.aRdIWenofigzoltiN.AndDIhlDrWhzliftindishlEShn.hndWu.
35,.WrcidnwbIsethbhpDIoRjhnhvlITrzkanhntrnAnghliShnz.
36,.izjoRt.Ibikhmz.EpRamhnfeg?r.inlhnhvDhsyhtI.And.ifHIiznatkeRfhl.shmhnIWhlsEsO.
37,.nAnsIzkRilIcestnatkRap.SOinDhshnhndalhvsTik.blAkplEtslukt.blAkrdbykantRhs.
38,.DisWhzDhfrsthkEZhn.WiDinhjenrEShn.WinshchnenrtEmbhnHAdbingivhnAtelhmrst.AndDIOnlIWen.WiDinDhmemrIhvmAn.oeRDhnEbrzAndkhntRIpIphlHAdbinDIinvytidges.
39,.DenHIpROctit.AndstAndiNanteptOiDHiznAtkREndHIluktinthDhRUm.
40,.OciTDhfrst.tifflAtrIinmyTIN.AndmygREtmyndmOskiNlIdRiNkfidhp.mynyWelnOzWotWiTHizghft.izgRIn.AndtUHizpAlhtdotpRIpeRDhkhp.EfitbIpYvhnd.tEsDhleTrTiN.Dhtmynylhvvit.Andofrst.bigin.
41,.mhDr.diRfaDr.dURHiRmI.
42,.DEdUnagOWrDIenhmIzhvDhgasphlkRrdamhnI.DEgOvrDhkWiShnzaR.
43,.HwmDEWIhbtEnRimiShnhvaRsenz.
44,.wRkamfhdhnts.oRlakhvkamfhdhns.inDIAk?rhsIhvhmemrIimij.mhst.infhndhmhnthlkEsizbIbEst.hpanhkeRiktristikhvDIimij.itself.sens.WikAnyHATOkDhpAstbadhlI.AndkhmpeRintWiTDIpRezhnt.imij.
45,.nwthbedbY.
46,.hndroRdhneRIkhndiShnz.ReDhlzWhzSuRtibIilektid.bhtDhkhmitIpRhpOzdthsAkRhfyziHiminoRdrtUilykhpkhnz.
47,.DhlivrIbikhmshbnhkShsthnIDI.olHUyRIkWydtUeRit.
48,.bhtsUmthbI.WIaRlost.bhtyAmnatSuR.
49,.DhpRUfWhzhnTRIloNgslips.yHAdlefthmolthgeDr.
50,.ymhstnOhbwt?U.
51,.WInhtrHAdsOmenIhvDhminHAbhfoR.
52,.yHAveRIf?UthlhvmInw.hndyTot?UmytlhvmI.Az.yHAvbighnthlhv?U.
53,.Wyl?UsikthvvitsDhfrsmitiNfrtUImet.AndDAtWhzDisbigOt.RhplydDhkAfthn.pAntiNHaRAzHIHelfAsthWenhlIgOtsWrmz.
54,.WhnprsIvzWiTwtwndhstAdiNid.EHidIhsmrm.sAndiN.omOst.yk?Umhnt.Aktsents.bhtmoRniRlIRizembliN.EHw.Dhnhmarktik?UlikWrd.
55,.ifIHITigREthsfr.iniNinthodkOnrz.
56,.DIzpRhvrdrzhvDhRycnhshvkRystRIzistDhfaDrAndDhshn.AndDhWrkshvDhmbOT.
57,.WudnatDhloftIhst.AmhnhnsizhvDhsitIAdlIsbIvizhbhl.
58,.AtDhshdhnSaRpstiNhvit.DhgREtbrdtUdHizHedAndnOthst.frDhfrstymDhfiShminstAndiNonDhbANk.
59,.DitWhlbIzshjhsetezfAkShn.
60,.hsOnsIEtidWiTDhsimphlfoRmhvAprAths.WrveRIhs.incInIhsdicElzhndRifyndmhndstUsik?uReg?hlARhtIhvaprEShn.fRIdhmfrminAk?rhsI.AndimIvhdEfrmshctAmpriNAzWudpRhmitfeftivkrhnt.oRdAnij.
