Id,Token
0,!
1,""""
2,#
3,$
4,%
5,&
6,'
7,'Addario
8,'Africaine
9,'Andrade
10,'Automobile
11,'Brien
12,'Carmel
13,'Connell
14,'Connor
15,'Cruz
16,'Day
17,'Dell
18,'Donnell
19,'Italia
20,'Las
21,'Leary
22,'Les
23,'Malley
24,'Neil
25,'Neill
26,'Oc
27,'Or
28,'Ospital
29,'Ouverture
30,'Pau
31,'Pol
32,'Rourke
33,'Shara
34,'Toole
35,'a
36,'aak
37,'aaknal
38,'ad
39,'an
40,'anan
41,'ani
42,'ari
43,'awiil
44,'azzam
45,'d
46,'easter
47,'elkhunu
48,'honneur
49,'i
50,'il
51,'im
52,'in
53,'inich
54,'l
55,'ll
56,'lln
57,'m
58,'n
59,'n'roll
60,'nal
61,'ohang
62,'re
63,'ron
64,'s
65,'t
66,'u'lláh
67,'ung
68,'ve
69,'état
70,'être
71,'í
72,(
73,)
74,*
75,+
76,","
77,-
78,--
79,.
80,..
81,...
82,....
83,0.5
84,0.69
85,/
86,0
87,0
88,0
89,0
90,1
91,2
92,6
93,8
94,1
95,10
96,15
97,2
98,20
99,3
100,30
101,300
102,32
103,4
104,5
105,50
106,56
107,6
108,60
109,600
110,7
111,70
112,77
113,8
114,81
115,9
116,90
117,1
118,"1,000th"
119,1.c4
120,1.d4
121,1.00E+04
122,10
123,100
124,1000
125,1002
126,1005
127,100th
128,101
129,1012
130,1015
131,101st
132,102
133,1023
134,103
135,1035
136,1036
137,1038
138,104
139,1044
140,104A
141,105
142,1052
143,1054
144,1059
145,106
146,1063
147,1064
148,1065
149,107
150,1070
151,1072
152,1075
153,108
154,1086
155,109
156,1095
157,1096
158,1099
159,10M
160,10s
161,10th
162,11
163,110
164,1100
165,1101
166,1102
167,1103
168,1105
169,1107
170,1108
171,111
172,1115
173,1119
174,112
175,1120
176,1121
177,1122
178,1123
179,1124
180,1125
181,1126
182,1127
183,1128
184,1129
185,113
186,1130
187,1131
188,1132
189,1133
190,1135
191,1136
192,1137
193,1138
194,1139
195,114
196,1140
197,1142
198,1145
199,115
200,1150
201,1154
202,1155
203,116
204,1160
205,1161
206,1164
207,1165
208,1166
209,116th
210,117
211,1170
212,1175
213,118
214,1180
215,1187
216,1189
217,118th
218,119
219,1191
220,1194
221,11th
222,12
223,120
224,1200
225,1203
226,1204
227,1205
228,1206
229,1207
230,1208
231,1209
232,120th
233,121
234,1210
235,1212
236,1213
237,1214
238,1215
239,1216
240,1217
241,1218
242,1219
243,122
244,1220
245,1221
246,1224
247,1225
248,1228
249,1229
250,123
251,1230
252,1230s
253,1231
254,1233
255,1234
256,1235
257,1237
258,124
259,125
260,1250
261,1250s
262,125th
263,126
264,1260
265,1264
266,1265
267,1268
268,127
269,1270
270,1271
271,1275
272,1279
273,127th
274,128
275,1281
276,129
277,129I
278,129Xe
279,12th
280,13
